,Total Population,Population in Households,Population in Familes,Population in Group Qrtrs,Population Density2,Diversity Index3,Median Household Income,Average Household Income,Per Capita Income,Total Housing Units,Owner Occupied HU,Renter Occupied HU,Vacant Housing Units,Median Home Value,Average Home Value,Total Households,Average Household Size,Family Households,Average Family Size
98383,19483,19263,15334,220,1100,51,"$72,566","$94,789","$38,829","8,626 (100%)","4,557 (52.8%)","3,357 (38.9%)",712 ( 8.3%),"$364,296","$440,707",7914,2.43,5187,3
98387,44978,44923,38181,55,1721,64,"$71,023","$84,722","$28,139","15,698 (100%)","11,126 (70.9%)","3,791 (24.1%)",781 ( 5.0%),"$235,478","$261,583",14917,3.01,11238,3
98391,50713,50671,43820,42,1554,33,"$94,217","$113,980","$38,697","18,100 (100%)","14,518 (80.2%)","2,687 (14.8%)",895 ( 4.9%),"$355,809","$423,417",17205,2.95,13453,3
98402,5763,4660,1582,1103,5445,64,"$29,647","$53,642","$30,911","3,405 (100%)",357 (10.5%),"2,636 (77.4%)",412 (12.1%),"$286,685","$504,692",2993,1.56,610,3
98404,35830,35614,28852,216,4794,85,"$49,421","$58,854","$19,172","12,476 (100%)","6,678 (53.5%)","4,868 (39.0%)",930 ( 7.5%),"$197,229","$243,501",11546,3.08,7941,4
98405,26012,24645,16497,1367,6131,69,"$40,834","$55,656","$24,010","12,004 (100%)","4,448 (37.1%)","6,246 (52.0%)","1,310 (10.9%)","$226,453","$265,985",10694,2.3,5284,3
98406,22595,21129,14510,1466,5683,43,"$65,029","$85,773","$36,981","9,963 (100%)","5,681 (57.0%)","3,709 (37.2%)",573 ( 5.8%),"$323,390","$376,210",9390,2.25,5046,3
98407,22130,21961,16586,169,3937,39,"$79,035","$104,533","$45,565","10,286 (100%)","6,211 (60.4%)","3,380 (32.9%)",695 ( 6.8%),"$365,392","$456,444",9591,2.29,5747,3
98408,20390,20136,15497,254,5954,74,"$52,763","$64,647","$24,565","8,245 (100%)","4,857 (58.9%)","2,756 (33.4%)",632 ( 7.7%),"$198,713","$219,266",7613,2.64,4805,3
98409,27774,27499,20307,275,3793,79,"$47,452","$56,266","$22,309","11,913 (100%)","3,856 (32.4%)","6,989 (58.7%)","1,068 ( 9.0%)","$203,423","$244,813",10845,2.54,6403,3
98418,10393,10241,7555,152,6222,74,"$52,322","$63,379","$24,542","4,321 (100%)","2,248 (52.0%)","1,694 (39.2%)",379 ( 8.8%),"$204,203","$227,057",3942,2.6,2349,3
98424,11789,11709,8998,80,1870,77,"$69,697","$82,653","$31,598","4,674 (100%)","1,981 (42.4%)","2,493 (53.3%)",200 ( 4.3%),"$299,242","$335,172",4474,2.62,2766,3
98444,35031,34063,25712,968,4969,81,"$45,518","$58,653","$22,283","13,869 (100%)","5,142 (37.1%)","7,736 (55.8%)",991 ( 7.1%),"$206,511","$257,108",12878,2.65,7946,3
98445,34758,34652,28464,106,3289,71,"$63,016","$74,698","$26,624","12,984 (100%)","8,130 (62.6%)","4,210 (32.4%)",644 ( 5.0%),"$237,153","$280,387",12340,2.81,8682,3
98466,27825,27685,21846,140,4617,56,"$65,309","$92,216","$38,464","12,411 (100%)","6,301 (50.8%)","5,253 (42.3%)",857 ( 6.9%),"$336,725","$392,553",11554,2.4,7309,3
98499,31413,31188,23055,225,3348,82,"$45,239","$63,382","$26,498","14,235 (100%)","4,744 (33.3%)","8,267 (58.1%)","1,224 ( 8.6%)","$248,993","$345,515",13011,2.4,7402,3
98501,43286,43013,32883,273,1210,40,"$77,039","$99,771","$41,781","19,087 (100%)","11,004 (57.7%)","7,048 (36.9%)","1,035 ( 5.4%)","$335,513","$380,616",18052,2.38,11051,3
98502,34484,33425,23799,1059,580,43,"$68,779","$97,054","$41,297","15,793 (100%)","7,844 (49.7%)","6,455 (40.9%)","1,494 ( 9.5%)","$380,665","$458,411",14299,2.34,8213,3
98503,39981,38935,30138,1046,3209,60,"$65,736","$79,285","$32,405","17,086 (100%)","8,269 (48.4%)","7,653 (44.8%)","1,164 ( 6.8%)","$256,669","$272,690",15922,2.45,9982,3
98506,18929,18542,13405,387,840,39,"$70,308","$94,213","$41,535","8,709 (100%)","4,737 (54.4%)","3,472 (39.9%)",500 ( 5.7%),"$341,294","$400,232",8209,2.26,4687,3
98512,30747,29837,23315,910,210,37,"$74,288","$94,433","$37,997","12,837 (100%)","8,257 (64.3%)","3,841 (29.9%)",739 ( 5.8%),"$336,535","$372,245",12098,2.47,7860,3
98516,24187,24144,20437,43,837,56,"$90,123","$114,665","$44,378","9,813 (100%)","6,987 (71.2%)","2,361 (24.1%)",465 ( 4.7%),"$335,367","$393,581",9348,2.58,6854,3
98520,24050,21787,16781,2263,90,54,"$46,519","$58,867","$22,236","9,779 (100%)","5,421 (55.4%)","3,080 (31.5%)","1,278 (13.1%)","$149,050","$176,217",8501,2.56,5417,3
98524,3651,3648,3016,3,279,26,"$61,218","$72,390","$31,219","1,979 (100%)","1,333 (67.4%)",241 (12.2%),405 (20.5%),"$290,025","$333,590",1574,2.32,1133,3
98528,10487,10154,8159,333,159,37,"$57,829","$70,931","$27,441","5,083 (100%)","3,000 (59.0%)",973 (19.1%),"1,110 (21.8%)","$257,364","$288,317",3973,2.56,2722,3
98531,24794,24488,18856,306,199,52,"$42,001","$57,764","$23,016","10,651 (100%)","5,502 (51.7%)","4,279 (40.2%)",870 ( 8.2%),"$183,842","$215,263",9781,2.5,6098,3
